id,listing_number,host_id,host_name,city,price_clean,estimated_revenue,customer_count_num,total_reviewers_number,room_type,price,host_certification,host_response_rate_pct,host_acceptance_rate_pct,bathrooms_num,bedrooms_num,beds_num,accommodates_num,reply_time_category,area,guest_favourite
2,5,113345,Adela,Toronto,152,0,0,42,Hotel Room,152,1,0.817240899,0.71204387,1,1,2,4,Unknown,North America,0
3,2,1466410,Susan,Toronto,120,0,0,0,Private Room,120,1,1,0.71204387,1,1,2,1,Unknown,North America,0
4,1,118124,Brent,Toronto,75,0,0,29,Hotel Room,75,1,1,1,1,0,1,1,Unknown,North America,1
5,4,175687,John,Toronto,90,0,0,7,Hotel Room,90,1,1,0.71204387,1,1,1,2,Unknown,North America,0
6,3,1704172,Vanessa,Toronto,102,0,0,121,Private Room,102,1,1,1,1,1,1,1,Unknown,North America,1
7,1,1027776,Willy,Toronto,60,0,0,85,Private Room,60,1,0,0,1,1,0,2,Unknown,North America,0
8,11,195095,Urbano,Toronto,126,0,0,66,Hotel Room,126,1,1,0.71204387,1,1,1,2,Unknown,North America,0
10,11,195095,Urbano,Toronto,104,0,0,8,Private Room,104,1,1,0.71204387,1,1,1,2,Unknown,North America,0
11,1,1015670,Grace,Toronto,361,0,0,9,Hotel Room,361,1,0,0,1,1,1,2,Unknown,North America,0
12,11,195095,Urbano,Toronto,150,0,0,86,Hotel Room,150,1,1,0.71204387,1,0,1,3,Unknown,North America,0
13,11,195095,Urbano,Toronto,105,0,0,9,Private Room,105,1,1,0.71204387,1,1,1,2,Unknown,North America,0
14,1,1910540,Lesley,Toronto,108,0,0,120,Private Room,108,1,1,0.71204387,1,1,1,2,Unknown,North America,1
15,11,195095,Urbano,Toronto,90,0,0,22,Private Room,90,1,1,0.71204387,1,1,1,1,Unknown,North America,0
16,11,304551,Kintoo,Toronto,60,0,0,4,Private Room,60,1,1,0.71204387,1,1,1,1,Unknown,North America,0
17,11,195095,Urbano,Toronto,163,0,0,59,Hotel Room,163,1,1,0.71204387,1,1,1,3,Unknown,North America,0
18,4,1952926,Sean,Toronto,60,0,0,829,Private Room,60,1,0,0,1,1,1,2,Unknown,North America,0
19,1,1870492,Katie,Toronto,115,0,0,21,Hotel Room,115,1,0,0,1,1,1,2,Unknown,North America,0
20,11,304551,Kintoo,Toronto,50,0,0,23,Private Room,50,1,1,0.71204387,5,1,1,1,Unknown,North America,1
21,11,304551,Kintoo,Toronto,80,0,0,9,Hotel Room,80,1,1,0.71204387,1,1,1,1,Unknown,North America,0
22,11,304551,Kintoo,Toronto,50,0,0,17,Private Room,50,1,1,0.71204387,5,1,1,1,Unknown,North America,0
23,11,304551,Kintoo,Toronto,50,0,0,24,Private Room,50,1,1,0.71204387,5,1,1,1,Unknown,North America,1
24,11,195095,Urbano,Toronto,90,0,0,5,Private Room,90,1,1,0.71204387,1,1,1,2,Unknown,North America,0
25,11,304551,Kintoo,Toronto,50,350,7,4,Private Room,50,1,1,0.71204387,1,1,0,1,Unknown,North America,1
26,1,511506,Brenda,Toronto,309,0,0,154,Hotel Room,309,1,1,0.71204387,2,3,3,5,Unknown,North America,1
28,2,575127,Micheline,Toronto,66,0,0,12,Hotel Room,66,0,0,0,1,1,1,2,Unknown,North America,0
29,4,174063,Denis,Toronto,200,0,0,84,Hotel Room,200,1,1,1,1,1,1,2,Unknown,North America,1
30,1,2079464,Maddie,Toronto,62,0,0,125,Private Room,62,1,1,1,1,1,0,2,Unknown,North America,0
31,1,604233,Waterfront Execsuites,Toronto,94,0,0,11,Hotel Room,94,0,0,0.71204387,1,1,1,2,Unknown,North America,0
32,19,377846,Nick & Nena,Toronto,69,0,0,47,Hotel Room,69,1,1,0.71204387,1,1,1,2,Unknown,North America,0
33,5,656777,Pere,Toronto,279,0,0,63,Hotel Room,279,1,1,0.71204387,1,2,2,4,Unknown,North America,1
34,1,2297131,Liz,Toronto,55,0,0,34,Private Room,55,1,0,0,1,1,1,2,Unknown,North America,0
35,3,1039434,Juli,Toronto,279,0,0,72,Hotel Room,279,1,1,1,1,1,1,2,Unknown,North America,1
36,1,957466,Karen,Toronto,92,0,0,53,Hotel Room,92,1,1,0.71204387,1,1,1,2,Unknown,North America,1
37,1,2349264,George,Toronto,115,0,0,100,Hotel Room,115,1,0,1,1,1,1,2,Unknown,North America,0
38,2,1241161,Danny,Toronto,106,0,0,115,Hotel Room,106,1,0,0,1,0,1,2,Unknown,North America,0
39,2,1019538,Stefan,Toronto,300,0,0,22,Hotel Room,300,1,0.817240899,0.71204387,2,2,2,4,Unknown,North America,0
40,8,533496,Eberhard,Toronto,100,0,0,182,Hotel Room,100,1,1,0.71204387,1,0,0,2,Unknown,North America,1
41,2,2549053,Nathalie,Toronto,300,0,0,78,Hotel Room,300,1,1,0,1,3,3,5,Unknown,North America,0
42,2,1170217,Frank,Toronto,80,0,0,38,Private Room,80,1,1,1,1,1,1,2,Unknown,North America,1
43,1,2588098,Reiner,Toronto,108,0,0,6,Hotel Room,108,1,1,0,1,1,1,2,Unknown,North America,0
44,1,1698603,Kyle,Toronto,399,0,0,73,Hotel Room,399,1,1,0.71204387,1,1,1,3,Unknown,North America,0
45,2,2600229,Orsolya,Toronto,295,0,0,18,Hotel Room,295,1,1,0,2,4,5,7,Unknown,North America,0
46,1,2597290,Caroline,Toronto,97,0,0,113,Private Room,97,1,0,0,1,1,1,2,Unknown,North America,0
47,1,1019968,Roman,Toronto,234,0,0,178,Hotel Room,234,1,1,0.71204387,1,1,2,3,Unknown,North America,1
48,1,1218097,Susan,Toronto,200,0,0,5,Hotel Room,200,1,1,0,1,1,2,2,Unknown,North America,0
49,1,349772,Steven,Toronto,90,0,0,36,Hotel Room,90,1,1,1,1,1,1,2,Unknown,North America,0
50,2,1304211,Nadia,Toronto,44,0,0,45,Private Room,44,1,0.817240899,0.71204387,1,1,0,1,Unknown,North America,0
51,19,377846,Nick & Nena,Toronto,149,0,0,29,Hotel Room,149,1,1,0.71204387,1,3,3,7,Unknown,North America,0
52,6,2175675,Frank,Toronto,119,0,0,85,Hotel Room,119,1,1,1,1,1,1,2,Unknown,North America,1
54,3,5153529,Adrian,Toronto,160,0,0,9,Hotel Room,160,1,1,0.71204387,1,2,0,2,Unknown,North America,1
55,1,574360,Yvonne,Toronto,120,0,0,4,Hotel Room,120,0,0,0,1,1,1,2,Unknown,North America,0
56,1,5186386,Kc,Toronto,80,0,0,34,Hotel Room,80,1,1,1,1,1,1,2,Unknown,North America,0
58,4,4477219,Vas,Toronto,60,0,0,11,Hotel Room,60,1,1,0.71204387,1,2,0,2,Unknown,North America,0
59,19,377846,Nick & Nena,Toronto,83,0,0,47,Hotel Room,83,1,1,0.71204387,1,1,1,2,Unknown,North America,0
60,2,3272927,Sam,Toronto,128,0,0,71,Hotel Room,128,1,0.817240899,0.71204387,1,1,2,4,Unknown,North America,0
61,1,3395349,Suzanna,Toronto,95,0,0,0,Hotel Room,95,0,0,0,1,1,2,2,Unknown,North America,0
62,4,3604846,Wies,Toronto,150,0,0,18,Hotel Room,150,1,1,0.71204387,1,1,2,4,Unknown,North America,0
63,1,5214021,Michael,Toronto,100,0,0,33,Hotel Room,100,1,1,0.71204387,1,1,1,1,Unknown,North America,0
64,4,3604846,Wies,Toronto,200,0,0,24,Hotel Room,200,1,1,0.71204387,1,3,4,7,Unknown,North America,0
65,4,3604846,Wies,Toronto,180,0,0,4,Hotel Room,180,1,1,0.71204387,1,2,3,5,Unknown,North America,0
68,5,3982898,Andrew,Toronto,111,0,0,111,Private Room,111,1,1,0.71204387,1,1,1,1,Unknown,North America,1
70,1,4017316,Patricia,Toronto,109,654,6,5,Hotel Room,109,1,0,0,1,1,1,2,Unknown,North America,0
71,5,4068231,Margaret,Toronto,90,0,0,34,Hotel Room,90,1,0.817240899,0.71204387,1,0,1,2,Unknown,North America,0
72,6,377962,Coreen,Toronto,115,0,0,35,Hotel Room,115,1,0.817240899,0.71204387,1,1,2,2,Unknown,North America,0
73,1,3131000,Janet,Toronto,60,0,0,168,Private Room,60,1,1,0.71204387,1,1,1,2,Unknown,North America,1
74,1,5554523,Holly & Chad,Toronto,140,0,0,169,Hotel Room,140,1,1,0.71204387,1,1,1,1,Unknown,North America,0
75,1,4111007,Stephanie,Toronto,600,4200,7,1,Hotel Room,600,0,1,0,4,4,4,6,Unknown,North America,0
76,1,5630548,Daniel,Toronto,446,0,0,13,Hotel Room,446,1,0,0,2,3,3,7,Unknown,North America,0
77,2,2056128,Robert,Toronto,143,0,0,507,Private Room,143,1,1,1,1,1,1,2,Unknown,North America,1
78,1,1984757,Michelle,Toronto,98,0,0,27,Hotel Room,98,1,1,1,1,1,1,2,Unknown,North America,1
79,19,377846,Nick & Nena,Toronto,70,0,0,50,Hotel Room,70,1,1,0.71204387,1,1,1,2,Unknown,North America,0
80,6,2175675,Frank,Toronto,129,774,6,7,Hotel Room,129,1,1,1,1,1,2,2,Unknown,North America,0
81,1,4186011,Oron,Toronto,279,0,0,142,Hotel Room,279,1,1,0.71204387,1,1,1,2,Unknown,North America,1
82,2,4195876,Dale,Toronto,206,0,0,91,Private Room,206,1,0,0,1,1,2,2,Unknown,North America,0
83,3,5700231,Roxy,Toronto,68,0,0,0,Private Room,68,1,1,0.71204387,2,1,1,2,Unknown,North America,0
84,2,1786233,Mina,Toronto,25,0,0,22,Private Room,25,1,0.817240899,0,1,2,2,2,Unknown,North America,0
85,1,4468895,Melanie,Toronto,108,0,0,41,Hotel Room,108,1,1,0.71204387,1,1,1,2,Unknown,North America,0
87,2,149566,Vinita + Joe,Toronto,145,0,0,39,Hotel Room,145,1,1,0.71204387,1,1,1,3,Unknown,North America,0
88,1,4316883,Scott,Toronto,1016,0,0,8,Hotel Room,1016,1,0,0,5,5,6,7,Unknown,North America,0
89,1,2741400,Rk,Toronto,70,0,0,152,Private Room,70,1,0,0,2,1,1,2,Unknown,North America,0
90,1,2575031,Johnny,Toronto,200,0,0,4,Hotel Room,200,1,1,0.71204387,2,1,2,2,Unknown,North America,0
91,1,4435131,Olivia,Toronto,87,0,0,136,Private Room,87,1,0.817240899,0.71204387,1,1,1,1,Unknown,North America,0
92,4,4477219,Vas,Toronto,196,0,0,13,Hotel Room,196,1,1,0.71204387,1,0,0,2,Unknown,North America,0
93,5,4010527,Diane,Toronto,255,0,0,29,Hotel Room,255,1,1,0.71204387,1,1,2,2,Unknown,North America,0
94,1,5867364,Emil,Toronto,189,0,0,663,Private Room,189,1,1,0.71204387,1,1,1,2,Unknown,North America,1
95,1,4448135,Hyung Min,Toronto,408,0,0,312,Hotel Room,408,1,1,0.71204387,1,2,2,4,Unknown,North America,1
96,1,4871479,Jodi,Toronto,350,0,0,67,Hotel Room,350,1,1,0,1,1,1,3,Unknown,North America,0
97,2,672978,Katy,Toronto,186,0,0,516,Hotel Room,186,1,0,0,1,1,2,4,Unknown,North America,0
98,2,4966594,Mark,Toronto,95,0,0,42,Private Room,95,1,0.817240899,0.71204387,1,1,1,2,Unknown,North America,0
99,1,8300483,Michael,Toronto,100,0,0,7,Hotel Room,100,1,0,0,1,2,2,3,Unknown,North America,0
100,19,377846,Nick & Nena,Toronto,70,0,0,33,Hotel Room,70,1,1,0.71204387,1,0,0,2,Unknown,North America,0
101,1,5559775,Aleksandra,Toronto,499,0,0,16,Hotel Room,499,1,0,0,1,2,2,4,Unknown,North America,0
103,19,377846,Nick & Nena,Toronto,70,0,0,38,Hotel Room,70,1,1,0.71204387,1,1,0,2,Unknown,North America,0
104,2,4966594,Mark,Toronto,99,0,0,40,Private Room,99,1,0.817240899,0.71204387,1,1,1,2,Unknown,North America,1
105,2,8546454,Marilyn Lucille,Toronto,125,0,0,456,Private Room,125,1,1,1,1,1,1,2,Unknown,North America,1
106,1,6306986,William,Toronto,131,0,0,88,Hotel Room,131,1,1,0.71204387,1,1,2,4,Unknown,North America,0
107,35,8569918,Sharon,Toronto,285,0,0,38,Hotel Room,285,1,0.817240899,0.71204387,1,2,4,7,Unknown,North America,0
109,2,2783292,Euge,Toronto,130,0,0,37,Hotel Room,130,1,1,0.71204387,1,1,1,2,Unknown,North America,0
110,35,8569918,Sharon,Toronto,149,0,0,17,Private Room,149,1,0.817240899,0.71204387,1,1,1,2,Unknown,North America,0
111,1,6351139,Julie,Toronto,72,0,0,0,Hotel Room,72,1,0,0,1,1,0,3,Unknown,North America,0
113,1,6255603,Fojan,Toronto,152,0,0,52,Hotel Room,152,1,0.817240899,1,1,1,1,2,Unknown,North America,0
114,11,8702985,Clarence,Toronto,218,0,0,126,Hotel Room,218,1,1,0.71204387,1,1,1,2,Unknown,North America,1
115,1,8736297,Anju,Toronto,120,0,0,82,Hotel Room,120,1,1,1,1,2,3,6,Unknown,North America,1
116,1,6410636,Deb,Toronto,95,0,0,23,Private Room,95,1,1,0.71204387,1,1,1,1,Unknown,North America,0
117,1,6044009,Fabricio,Toronto,211,0,0,162,Hotel Room,211,1,1,0.71204387,1,0,1,3,Unknown,North America,0
118,35,8569918,Sharon,Toronto,199,0,0,13,Private Room,199,1,0.817240899,0.71204387,1,1,2,4,Unknown,North America,0
119,4,173823,James,Toronto,115,805,7,5,Hotel Room,115,1,1,0.71204387,2,2,2,2,Unknown,North America,0
120,1,6530148,Lin,Toronto,65,0,0,22,Private Room,65,0,0,0,1,1,0,2,Unknown,North America,0
121,35,8569918,Sharon,Toronto,129,774,6,24,Private Room,129,1,0.817240899,0.71204387,1,1,0,2,Unknown,North America,0
122,1,195472241,Vesta,Toronto,214,0,0,50,Hotel Room,214,1,0,0,1,2,0,4,Unknown,North America,0
123,35,8569918,Sharon,Toronto,233,0,0,66,Hotel Room,233,1,0.817240899,0.71204387,1,1,2,5,Unknown,North America,0
124,4,3604846,Wies,Toronto,150,0,0,18,Hotel Room,150,1,1,0.71204387,1,2,3,4,Unknown,North America,0
125,35,8569918,Sharon,Toronto,245,0,0,69,Hotel Room,245,1,0.817240899,0.71204387,1,1,3,6,Unknown,North America,0
126,1,6662193,Prity,Toronto,103,0,0,13,Hotel Room,103,1,0,0.71204387,1,1,1,2,Unknown,North America,0
127,1,8856331,Veronique,Toronto,279,0,0,25,Hotel Room,279,1,0,0.71204387,2,3,5,6,Unknown,North America,0
128,20,5988339,Toronto Luxury Suites,Toronto,256,0,0,0,Hotel Room,256,1,1,0.71204387,2,2,2,4,Unknown,North America,0
130,20,5988339,Toronto Luxury Suites,Toronto,192,0,0,0,Hotel Room,192,1,1,0.71204387,1,1,2,4,Unknown,North America,0
131,5,579683,Liron,Toronto,85,0,0,43,Hotel Room,85,1,1,1,1,1,3,4,Unknown,North America,0
132,2,3406595,Inger,Toronto,155,0,0,133,Private Room,155,1,1,1,1,1,1,2,Unknown,North America,1
133,11,8859994,Em,Toronto,95,0,0,194,Private Room,95,1,0.817240899,0.71204387,1,1,1,2,Unknown,North America,0
134,2,6911938,Roozbeh,Toronto,950,0,0,57,Hotel Room,950,1,1,0.71204387,3,3,3,6,Unknown,North America,0
135,1,9127235,Mrs Raphael,Toronto,90,0,0,81,Hotel Room,90,0,0.817240899,0,1,2,3,4,Unknown,North America,0
136,1,1025890,Amir,Toronto,65,390,6,1,Hotel Room,65,1,0.817240899,0,1,1,1,2,Unknown,North America,0
137,1,5244098,Pablo,Toronto,140,0,0,55,Hotel Room,140,1,1,1,2,2,2,4,Unknown,North America,1
138,2,1553458,Jay,Toronto,125,0,0,0,Hotel Room,125,1,1,1,1,1,1,2,Unknown,North America,0
139,2,7065012,Jude,Toronto,93,0,0,60,Hotel Room,93,1,1,0,1,1,1,2,Unknown,North America,0
141,19,377846,Nick & Nena,Toronto,137,0,0,26,Hotel Room,137,1,1,0.71204387,1,3,3,6,Unknown,North America,0
142,1,9341346,Przemek,Toronto,146,0,0,5,Hotel Room,146,1,0,0,1,1,2,2,Unknown,North America,0
144,2,7173548,Pasqua,Toronto,116,0,0,105,Hotel Room,116,1,1,0.71204387,1,1,1,2,Unknown,North America,1
148,19,377846,Nick & Nena,Toronto,90,0,0,21,Hotel Room,90,1,1,0.71204387,1,1,1,2,Unknown,North America,0
149,1,8952336,Caroline,Toronto,153,0,0,221,Private Room,153,1,1,0.71204387,1,1,0,2,Unknown,North America,0
150,1,7412574,Abhishek,Toronto,100,0,0,43,Private Room,100,1,0,0,2,1,1,2,Unknown,North America,0
151,1,1989442,Pellumb,Toronto,85,0,0,592,Private Room,85,1,1,1,1,1,2,3,Unknown,North America,0
152,1,9773888,Zilla,Toronto,170,0,0,4,Hotel Room,170,0,1,0.71204387,1,1,2,3,Unknown,North America,0
153,1,7428349,Steve,Toronto,85,0,0,21,Private Room,85,0,0,0,1,1,1,1,Unknown,North America,0
154,1,9612740,Donna,Toronto,150,0,0,250,Hotel Room,150,1,1,1,1,1,1,2,Unknown,North America,1
155,2,1102328,Isil,Toronto,150,0,0,9,Hotel Room,150,1,1,0.71204387,1,1,1,1,Unknown,North America,0
156,2,1108156,Karen,Toronto,75,0,0,12,Hotel Room,75,1,1,0.71204387,1,1,0,2,Unknown,North America,1
157,15,9923100,Ed,Toronto,70,0,0,71,Hotel Room,70,1,1,0.71204387,1,1,1,2,Unknown,North America,0
158,11,9956811,Erica,Toronto,151,0,0,2,Private Room,151,1,1,1,1,1,1,2,Unknown,North America,0
159,2,7672988,Nadia,Toronto,88,0,0,33,Private Room,88,1,1,0,1,1,0,2,Unknown,North America,0
160,1,4332338,Agnes Eva,Toronto,200,0,0,9,Hotel Room,200,0,0,0,1,1,1,3,Unknown,North America,0
161,1,6153361,Asoka,Toronto,75,0,0,19,Hotel Room,75,1,1,0.71204387,1,1,2,2,Unknown,North America,0
162,1,3496109,J,Toronto,73,0,0,11,Hotel Room,73,1,1,0.71204387,1,1,1,2,Unknown,North America,0
163,1,1397143,Gregory,Toronto,130,0,0,100,Hotel Room,130,1,1,0.71204387,1,1,1,2,Unknown,North America,0
164,3,10061029,Gg,Toronto,57,0,0,95,Private Room,57,1,1,1,1,4,1,2,Unknown,North America,1
166,2,7895355,T,Toronto,200,0,0,74,Hotel Room,200,1,1,1,1,1,1,2,Unknown,North America,0
167,1,10249063,Adila,Toronto,125,0,0,247,Private Room,125,1,1,0.71204387,1,1,1,2,Unknown,North America,1
168,20,5988339,Toronto Luxury Suites,Toronto,133,0,0,0,Hotel Room,133,1,1,0.71204387,1,1,1,4,Unknown,North America,0
169,4,1200367,Grace,Toronto,128,0,0,49,Hotel Room,128,1,1,0.71204387,1,1,1,2,Unknown,North America,0
170,17,4356799,Thomas,Toronto,133,0,0,65,Hotel Room,133,1,1,0.71204387,1,1,2,3,Unknown,North America,0
172,1,174616,David,Toronto,180,0,0,205,Hotel Room,180,1,1,0.71204387,1,2,2,3,Unknown,North America,0
173,1,4991306,Julie,Toronto,130,0,0,184,Private Room,130,1,1,0.71204387,1,1,1,2,Unknown,North America,0
175,1,6884061,Roberta,Toronto,85,0,0,66,Private Room,85,1,1,0.71204387,2,1,0,2,Unknown,North America,0
176,1,2788736,Alvaro,Toronto,70,0,0,58,Hotel Room,70,1,1,0.71204387,1,1,0,4,Unknown,North America,0
177,1,10845253,Celeste,Toronto,180,1260,7,9,Private Room,180,1,0,0,1,1,1,2,Unknown,North America,0
179,1,3400584,Maria,Toronto,449,0,0,46,Hotel Room,449,1,0.817240899,0.71204387,2,3,4,7,Unknown,North America,0
180,11,195095,Urbano,Toronto,170,1190,7,3,Hotel Room,170,1,1,0.71204387,1,1,1,2,Unknown,North America,0
182,3,1816495,Katharine,Toronto,275,0,0,52,Hotel Room,275,1,1,0.71204387,1,2,2,5,Unknown,North America,0
183,1,11917344,Maria,Toronto,125,0,0,0,Hotel Room,125,1,0,0,1,1,1,2,Unknown,North America,0
184,1,11933948,Marlene,Toronto,105,0,0,20,Hotel Room,105,1,0,0.71204387,1,1,3,4,Unknown,North America,0
185,1,11048824,Jen,Toronto,115,0,0,20,Hotel Room,115,1,1,0.71204387,2,4,4,4,Unknown,North America,0
186,17,12033867,Kashaneh,Toronto,259,0,0,67,Hotel Room,259,1,0.817240899,0.71204387,2,2,3,4,Unknown,North America,0
187,2,11076856,Joanne,Toronto,272,0,0,65,Hotel Room,272,1,1,0.71204387,1,2,2,4,Unknown,North America,0
188,1,11259817,Pamela,Toronto,238,0,0,23,Hotel Room,238,1,1,1,1,2,2,4,Unknown,North America,0
189,6,864492,George,Toronto,185,0,0,10,Hotel Room,185,1,1,0.71204387,2,3,2,3,Unknown,North America,1
190,1,2748348,Greg,Toronto,129,0,0,10,Hotel Room,129,1,1,0,1,1,0,2,Unknown,North America,0
191,1,11363304,Craig,Toronto,125,875,7,1,Hotel Room,125,1,1,0,2,2,2,4,Unknown,North America,0
192,1,5927200,Genevieve,Toronto,126,0,0,573,Hotel Room,126,1,1,1,1,2,4,5,Unknown,North America,0
193,2,1553458,Jay,Toronto,130,910,7,8,Hotel Room,130,1,1,1,2,2,2,3,Unknown,North America,1
194,1,3279120,David,Toronto,155,1085,7,1,Hotel Room,155,1,1,0.71204387,1,1,1,2,Unknown,North America,0
195,2,4420576,Vicky,Toronto,66,0,0,100,Private Room,66,1,1,0.71204387,1,1,1,1,Unknown,North America,0
196,5,1854872,Nadarajah,Toronto,29,0,0,37,Private Room,29,1,1,0.71204387,1,4,1,1,Unknown,North America,0
197,1,11729337,Ramy,Toronto,120,0,0,62,Hotel Room,120,1,1,1,1,1,1,2,Unknown,North America,0
198,3,7828359,Karma,Toronto,218,0,0,50,Hotel Room,218,1,0.817240899,0.71204387,2,2,2,4,Unknown,North America,0
199,3,5153529,Adrian,Toronto,210,0,0,239,Hotel Room,210,1,1,0.71204387,1,1,1,2,Unknown,North America,1
200,1,10796912,D,Toronto,160,0,0,30,Hotel Room,160,1,1,0,2,1,0,3,Unknown,North America,0
201,1,11897371,Frank,Toronto,83,0,0,47,Private Room,83,1,1,0.71204387,1,1,1,2,Unknown,North America,0
202,15,13066292,Jose,Toronto,107,0,0,189,Private Room,107,1,0.817240899,0.71204387,1,1,1,2,Unknown,North America,1
203,2,12028383,Maria,Toronto,253,0,0,170,Hotel Room,253,1,1,0.71204387,2,2,5,5,Unknown,North America,0
204,1,10088357,Bill,Toronto,80,0,0,67,Private Room,80,1,0,0,1,1,1,1,Unknown,North America,0
205,16,32044025,Toronto,Toronto,60,0,0,17,Private Room,60,1,1,0.71204387,2,1,1,1,Unknown,North America,0
206,1,12966791,Sic,Toronto,598,0,0,35,Hotel Room,598,1,0,0,2,2,2,4,Unknown,North America,0
207,11,9956811,Erica,Toronto,151,0,0,5,Private Room,151,1,1,1,1,1,1,2,Unknown,North America,0
208,15,13066292,Jose,Toronto,64,0,0,169,Hotel Room,64,1,0.817240899,0.71204387,1,0,1,3,Unknown,North America,0
209,1,17158005,Chris,Toronto,70,0,0,28,Hotel Room,70,1,1,1,1,0,0,2,Unknown,North America,1
211,2,17267972,Wei Li,Toronto,125,0,0,42,Hotel Room,125,1,1,0.71204387,1,0,1,2,Unknown,North America,0
213,1,17306531,David,Toronto,110,770,7,2,Private Room,110,1,0,0,1,1,1,2,Unknown,North America,0
214,15,9923100,Ed,Toronto,80,0,0,105,Hotel Room,80,1,1,0.71204387,1,1,1,2,Unknown,North America,0
216,2,13647990,Paul,Toronto,80,0,0,543,Private Room,80,1,1,0.71204387,1,1,1,2,Unknown,North America,1
217,3,9666005,Ethan,Toronto,150,0,0,70,Hotel Room,150,1,1,0.71204387,1,1,1,2,Unknown,North America,0
218,5,3982898,Andrew,Toronto,111,0,0,75,Private Room,111,1,1,0.71204387,1,1,1,1,Unknown,North America,1
221,19,377846,Nick & Nena,Toronto,61,0,0,97,Hotel Room,61,1,1,0.71204387,1,0,1,2,Unknown,North America,0
223,1,14052914,Alexandru,Toronto,255,0,0,218,Hotel Room,255,1,1,1,1,1,1,2,Unknown,North America,1
225,1,1007531,Julian & Joanna,Toronto,110,0,0,61,Hotel Room,110,1,1,0.71204387,1,1,2,2,Unknown,North America,0
226,3,14405518,Jordan,Toronto,117,0,0,316,Private Room,117,1,1,0.71204387,1,1,1,2,Unknown,North America,0
227,1,14596877,Aldines,Toronto,145,0,0,27,Hotel Room,145,1,1,0,1,1,1,2,Unknown,North America,0
228,5,1854872,Nadarajah,Toronto,90,0,0,13,Private Room,90,1,1,0.71204387,1,1,2,2,Unknown,North America,0
229,1,18112977,Shabnam,Toronto,181,0,0,188,Hotel Room,181,1,1,1,1,1,2,4,Unknown,North America,0
230,9,14761152,B,Toronto,129,0,0,61,Hotel Room,129,1,1,0.71204387,1,2,3,6,Unknown,North America,0
231,1,14845797,Marty,Toronto,150,0,0,127,Hotel Room,150,1,1,1,1,1,1,2,Unknown,North America,1
232,1,18164545,Tetyana,Toronto,319,0,0,32,Hotel Room,319,1,1,0.71204387,2,2,2,4,Unknown,North America,1
233,56,785826,Sky View,Toronto,138,0,0,10,Hotel Room,138,1,1,0.71204387,2,2,2,4,Unknown,North America,1
234,9,1112766,Alexandra,Toronto,149,0,0,85,Hotel Room,149,1,1,1,1,3,3,6,Unknown,North America,0
235,2,14963497,Jody,Toronto,250,1750,7,7,Private Room,250,1,0,0,1,1,1,2,Unknown,North America,0
237,1,9349836,Sarah,Toronto,80,0,0,176,Private Room,80,1,1,0.71204387,1,1,1,2,Unknown,North America,0
238,1,18602771,Stanley,Toronto,85,0,0,158,Hotel Room,85,1,1,1,1,0,4,2,Unknown,North America,1
239,11,304551,Kintoo,Toronto,55,330,6,8,Hotel Room,55,1,1,0.71204387,1,1,0,1,Unknown,North America,0
240,1,15150765,Phillip,Toronto,170,0,0,146,Hotel Room,170,1,1,1,1,2,2,3,Unknown,North America,1
242,9,14761152,B,Toronto,370,0,0,81,Hotel Room,370,1,1,0.71204387,2,3,2,7,Unknown,North America,0
243,1,18507875,The Best,Toronto,250,0,0,108,Hotel Room,250,0,0,0,1,1,1,2,Unknown,North America,0
246,9,14761152,B,Toronto,293,0,0,90,Hotel Room,293,1,1,0.71204387,2,2,2,4,Unknown,North America,0
248,3,19293149,Katherine,Toronto,129,0,0,93,Hotel Room,129,1,1,0.71204387,1,0,2,2,Unknown,North America,0
249,9,14761152,B,Toronto,125,0,0,53,Hotel Room,125,1,1,0.71204387,1,1,1,4,Unknown,North America,0
250,1,10731800,Yury,Toronto,165,0,0,37,Hotel Room,165,1,0,0,1,1,1,2,Unknown,North America,0
251,2,19532948,Cher,Toronto,140,0,0,243,Hotel Room,140,1,1,0,1,2,3,5,Unknown,North America,0
252,2,3583058,Bibian,Toronto,185,0,0,60,Hotel Room,185,1,1,0.71204387,1,1,1,2,Unknown,North America,0
253,1,11627383,Bee,Toronto,350,0,0,20,Hotel Room,350,1,1,0.71204387,1,3,3,6,Unknown,North America,0
255,2,16594320,Murray & Harry,Toronto,115,0,0,216,Hotel Room,115,1,1,1,1,1,3,4,Unknown,North America,1
256,1,16044016,Elizabeth,Toronto,190,0,0,32,Hotel Room,190,1,1,0.71204387,1,1,1,2,Unknown,North America,0
257,1,10022956,John,Toronto,85,0,0,116,Private Room,85,1,1,0.71204387,1,1,1,2,Unknown,North America,1
258,2,6739062,Toronto Condo,Toronto,250,1500,6,6,Hotel Room,250,1,0,0,1,1,1,2,Unknown,North America,0
259,3,19984389,Mike,Toronto,89,0,0,51,Hotel Room,89,1,0.817240899,0.71204387,1,1,1,2,Unknown,North America,0
260,1,19985328,Christopher,Toronto,79,0,0,161,Private Room,79,1,1,1,1,1,4,2,Unknown,North America,1
261,2,8024143,Edward,Toronto,214,0,0,38,Private Room,214,1,1,0.71204387,1,0,2,2,Unknown,North America,0
263,20,11206244,Superhost,Toronto,158,0,0,33,Hotel Room,158,1,1,0.71204387,2,1,2,5,Unknown,North America,0
265,1,6563454,Michael,Toronto,199,0,0,25,Hotel Room,199,1,1,1,1,1,1,2,Unknown,North America,1
